entry,image,pinned
bitnami-opensearch-2-0-10-legacy,docker.io/bitnamilegacy/opensearch:3.2.0-debian-12-r0,tag
bitnami-opensearch-2-0-10-legacy,docker.io/bitnamilegacy/os-shell:12-debian-12-r51,tag
bitnami-phpmyadmin-20-0-0-default,docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22,tag
bitnami-phpmyadmin-20-0-0-legacy,docker.io/bitnamilegacy/phpmyadmin:5.2.2-debian-12-r22,tag
bitnami-postgresql-18-6-10-existing-secret,registry-1.docker.io/bitnami/postgresql@sha256:2d3c068e58f89e0e29c6d41ffa3d00ff253e87a9426662c3ef11d2a0942ee653,digest
bitnami-postgresql-18-6-10-static-passwords,registry-1.docker.io/bitnami/postgresql@sha256:2d3c068e58f89e0e29c6d41ffa3d00ff253e87a9426662c3ef11d2a0942ee653,digest
bitnami-postgresql-18-6-7-existing-secret,registry-1.docker.io/bitnami/postgresql@sha256:2d3c068e58f89e0e29c6d41ffa3d00ff253e87a9426662c3ef11d2a0942ee653,digest
bitnami-postgresql-18-6-7-static-passwords,registry-1.docker.io/bitnami/postgresql@sha256:2d3c068e58f89e0e29c6d41ffa3d00ff253e87a9426662c3ef11d2a0942ee653,digest
bitnami-postgresql-18-7-0-existing-secret,registry-1.docker.io/bitnami/postgresql@sha256:2d3c068e58f89e0e29c6d41ffa3d00ff253e87a9426662c3ef11d2a0942ee653,digest
bitnami-postgresql-18-7-0-static-passwords,registry-1.docker.io/bitnami/postgresql@sha256:2d3c068e58f89e0e29c6d41ffa3d00ff253e87a9426662c3ef11d2a0942ee653,digest
bitnami-rabbitmq-16-0-14-existing-secret,docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1,tag
bitnami-rabbitmq-16-0-14-static-passwords,docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1,tag
bitnami-redis-25-5-3-default,registry-1.docker.io/bitnami/redis@sha256:6e7a020f1f6504698a7272c58783bdc2c23588c49febbae5aca1bb8dfa10af25,digest
bitnami-redis-25-5-3-reuse-existing-secret,registry-1.docker.io/bitnami/redis@sha256:6e7a020f1f6504698a7272c58783bdc2c23588c49febbae5aca1bb8dfa10af25,digest
bitnami-redis-27-0-0-default,registry-1.docker.io/bitnami/redis@sha256:6e7a020f1f6504698a7272c58783bdc2c23588c49febbae5aca1bb8dfa10af25,digest
bitnami-redis-27-0-0-reuse-existing-secret,registry-1.docker.io/bitnami/redis@sha256:6e7a020f1f6504698a7272c58783bdc2c23588c49febbae5aca1bb8dfa10af25,digest
bitnami-spark-10-0-3-default,docker.io/bitnami/spark:4.0.0-debian-12-r20,tag
bitnami-spark-10-0-3-ha,docker.io/bitnami/spark:4.0.0-debian-12-r20,tag
bitnami-spark-10-0-3-legacy,docker.io/bitnamilegacy/spark:4.0.0-debian-12-r20,tag
bitnami-zookeeper-13-8-7-default,docker.io/bitnami/zookeeper:3.9.3-debian-12-r21,tag
bitnami-zookeeper-13-8-7-ha,docker.io/bitnami/zookeeper:3.9.3-debian-12-r21,tag
bitnami-zookeeper-13-8-7-legacy,docker.io/bitnamilegacy/zookeeper:3.9.3-debian-12-r21,tag
cloudnative-pg-cloudnative-pg-0-28-2-default,ghcr.io/cloudnative-pg/cloudnative-pg:1.29.1,tag
cloudnative-pg-cloudnative-pg-0-28-2-no-crds,ghcr.io/cloudnative-pg/cloudnative-pg:1.29.1,tag
cloudnative-pg-cloudnative-pg-0-29-0-default,ghcr.io/cloudnative-pg/cloudnative-pg:1.30.0,tag
cloudpirates-nginx-0-16-1-default,docker.io/nginx:1.31.3-alpine@sha256:4a73073bd557c65b759505da037898b61f1be6cbcc3c2c3aeac22d2a470c1752,digest
cloudpirates-rabbitmq-0-21-13-default,docker.io/busybox:1.37.0@sha256:b3255e7dfbcd10cb367af0d409747d511aeb66dfac98cf30e97e87e4207dd76f,digest
cloudpirates-rabbitmq-0-21-13-default,docker.io/rabbitmq:4.3.4-management@sha256:c86dd1d32c1cbf3ff6547db9e359d7551b5973fe6e158e0edc64a3ed6ac69981,digest
cloudpirates-rabbitmq-0-21-13-existing-secret,docker.io/busybox:1.37.0@sha256:b3255e7dfbcd10cb367af0d409747d511aeb66dfac98cf30e97e87e4207dd76f,digest
cloudpirates-rabbitmq-0-21-13-existing-secret,docker.io/rabbitmq:4.3.4-management@sha256:c86dd1d32c1cbf3ff6547db9e359d7551b5973fe6e158e0edc64a3ed6ac69981,digest
cloudpirates-redis-0-34-11-default,docker.io/redis:8.10.0@sha256:39353c6a2f310da333374e1290c91805d15a85def073b5090f58e4ac646d284c,digest
cloudpirates-redis-0-34-11-reuse-existing-secret,docker.io/redis:8.10.0@sha256:39353c6a2f310da333374e1290c91805d15a85def073b5090f58e4ac646d284c,digest
configuration-oci-nginx-replicas-4,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
coredns-coredns-1-45-2-default,coredns/coredns:1.13.1,tag
crossplane-stable-crossplane-2-3-1-default,xpkg.crossplane.io/crossplane/crossplane:v2.3.1,tag
cub-installer-bitnami-nginx-24-0-2-http-clusterip,registry-1.docker.io/bitnami/nginx@sha256:805bcc863fc3f602589fc75cae91eeedebad234d5ce5a476c96b03a747821e7f,digest
descheduler-descheduler-0-36-0-default,registry.k8s.io/descheduler/descheduler:v0.36.0,tag
dex-dex-0-24-0-default,ghcr.io/dexidp/dex:v2.44.0,tag
elastic-eck-operator-3-4-0-default,docker.elastic.co/eck/eck-operator:3.4.0,tag
elastic-eck-operator-3-4-0-ha,docker.elastic.co/eck/eck-operator:3.4.0,tag
elastic-eck-operator-3-4-0-no-crds,docker.elastic.co/eck/eck-operator:3.4.0,tag
elastic-filebeat-8-5-1-default,docker.elastic.co/beats/filebeat:8.5.1,tag
elastic-filebeat-8-5-1-node-or-cluster-collector,docker.elastic.co/beats/filebeat:8.5.1,tag
elastic-kibana-8-5-1-default,docker.elastic.co/kibana/kibana:8.5.1,tag
elastic-logstash-8-5-1-default,docker.elastic.co/logstash/logstash:8.5.1,tag
elastic-logstash-8-5-1-ha,docker.elastic.co/logstash/logstash:8.5.1,tag
elastic-metricbeat-8-5-1-default,docker.elastic.co/beats/metricbeat:8.5.1,tag
elastic-metricbeat-8-5-1-default,k8s.gcr.io/kube-state-metrics/kube-state-metrics:v2.4.1,tag
external-dns-external-dns-1-21-1-default,registry.k8s.io/external-dns/external-dns:v0.21.0,tag
external-dns-external-dns-1-21-1-dry-run-txt-registry,registry.k8s.io/external-dns/external-dns:v0.21.0,tag
external-dns-external-dns-1-21-1-no-crds,registry.k8s.io/external-dns/external-dns:v0.21.0,tag
external-secrets-external-secrets-2-5-0-default,ghcr.io/external-secrets/external-secrets:v2.5.0,tag
external-secrets-external-secrets-2-5-0-no-crds,ghcr.io/external-secrets/external-secrets:v2.5.0,tag
external-secrets-external-secrets-2-7-0-default,ghcr.io/external-secrets/external-secrets:v2.7.0,tag
external-secrets-external-secrets-2-7-0-no-crds,ghcr.io/external-secrets/external-secrets:v2.7.0,tag
external-secrets-external-secrets-2-8-0-default,ghcr.io/external-secrets/external-secrets:v2.8.0,tag
external-secrets-external-secrets-2-8-0-no-crds,ghcr.io/external-secrets/external-secrets:v2.8.0,tag
fairwinds-stable-goldilocks-10-3-0-default,us-docker.pkg.dev/fairwinds-ops/oss/goldilocks:v4.14.1,tag
fairwinds-stable-vpa-4-11-0-default,registry.k8s.io/autoscaling/vpa-admission-controller:1.6.0,tag
fairwinds-stable-vpa-4-11-0-default,registry.k8s.io/autoscaling/vpa-recommender:1.6.0,tag
fairwinds-stable-vpa-4-11-0-default,registry.k8s.io/autoscaling/vpa-updater:1.6.0,tag
fairwinds-stable-vpa-4-11-0-no-crds,registry.k8s.io/autoscaling/vpa-admission-controller:1.6.0,tag
fairwinds-stable-vpa-4-11-0-no-crds,registry.k8s.io/autoscaling/vpa-recommender:1.6.0,tag
fairwinds-stable-vpa-4-11-0-no-crds,registry.k8s.io/autoscaling/vpa-updater:1.6.0,tag
falcosecurity-falco-9-0-0-default,docker.io/falcosecurity/falco-driver-loader:0.44.0,tag
falcosecurity-falco-9-0-0-default,docker.io/falcosecurity/falco:0.44.0,tag
falcosecurity-falco-9-0-0-default,docker.io/falcosecurity/falcoctl:0.13.0,tag
falcosecurity-falcosidekick-0-13-1-default,docker.io/falcosecurity/falcosidekick:2.32.0,tag
fluent-fluent-bit-0-57-6-default,cr.fluentbit.io/fluent/fluent-bit:5.0.6,tag
fluent-fluentd-0-5-3-default,fluent/fluentd-kubernetes-daemonset:v1.17.1-debian-elasticsearch7-1.2,tag
gatekeeper-gatekeeper-3-22-2-default,openpolicyagent/gatekeeper:v3.22.2,tag
gatekeeper-gatekeeper-3-22-2-no-crds,openpolicyagent/gatekeeper:v3.22.2,tag
gitlab-gitlab-runner-0-89-0-default,registry.gitlab.com/gitlab-org/gitlab-runner:alpine-v19.0.0,tag
grafana-alloy-1-11-0-default,docker.io/grafana/alloy:v1.18.0,tag
grafana-alloy-1-11-0-default,quay.io/prometheus-operator/prometheus-config-reloader:v0.91.0@sha256:7d9e4eea5f1139e602508871f422b0116c60e87c662f3dcd234d5ab60cd0d8c1,digest
grafana-alloy-1-8-2-default,docker.io/grafana/alloy:v1.16.1,tag
grafana-alloy-1-8-2-default,quay.io/prometheus-operator/prometheus-config-reloader:v0.91.0@sha256:7d9e4eea5f1139e602508871f422b0116c60e87c662f3dcd234d5ab60cd0d8c1,digest
grafana-alloy-1-8-2-no-crds,docker.io/grafana/alloy:v1.16.1,tag
grafana-alloy-1-8-2-no-crds,quay.io/prometheus-operator/prometheus-config-reloader:v0.91.0@sha256:7d9e4eea5f1139e602508871f422b0116c60e87c662f3dcd234d5ab60cd0d8c1,digest
grafana-grafana-10-5-15-existing-secret-ingress,docker.io/grafana/grafana:12.3.1,tag
grafana-grafana-10-5-15-static-passwords,docker.io/grafana/grafana:12.3.1,tag
grafana-loki-7-0-0-simple-scalable-minio,docker.io/grafana/loki-canary:3.6.7,tag
grafana-loki-7-0-0-simple-scalable-minio,docker.io/grafana/loki:3.6.7,tag
grafana-loki-7-0-0-simple-scalable-minio,docker.io/kiwigrid/k8s-sidecar:2.5.0,tag
grafana-loki-7-0-0-simple-scalable-minio,docker.io/nginxinc/nginx-unprivileged:1.29-alpine,tag
grafana-loki-7-0-0-simple-scalable-minio,memcached:1.6.39-alpine,tag
grafana-loki-7-0-0-simple-scalable-minio,prom/memcached-exporter:v0.15.4,tag
grafana-loki-7-0-0-single-binary-filesystem,docker.io/grafana/loki-canary:3.6.7,tag
grafana-loki-7-0-0-single-binary-filesystem,docker.io/grafana/loki:3.6.7,tag
grafana-loki-7-0-0-single-binary-filesystem,docker.io/kiwigrid/k8s-sidecar:2.5.0,tag
grafana-loki-7-0-0-single-binary-filesystem,docker.io/nginxinc/nginx-unprivileged:1.29-alpine,tag
grafana-loki-7-0-0-single-binary-filesystem,memcached:1.6.39-alpine,tag
grafana-loki-7-0-0-single-binary-filesystem,prom/memcached-exporter:v0.15.4,tag
grafana-loki-7-1-0-default,docker.io/grafana/loki-canary:3.6.8,tag
grafana-loki-7-1-0-default,docker.io/grafana/loki:3.6.8,tag
grafana-loki-7-1-0-default,docker.io/kiwigrid/k8s-sidecar:2.5.0,tag
grafana-loki-7-1-0-default,docker.io/nginxinc/nginx-unprivileged:1.29-alpine,tag
grafana-loki-7-1-0-default,memcached:1.6.39-alpine,tag
grafana-loki-7-1-0-default,prom/memcached-exporter:v0.15.4,tag
grafana-promtail-6-17-1-default,docker.io/grafana/promtail:3.5.1,tag
grafana-pyroscope-2-0-2-default,docker.io/grafana/alloy:v1.12.2,tag
grafana-pyroscope-2-0-2-default,grafana/pyroscope:2.0.2,tag
grafana-pyroscope-2-0-2-default,quay.io/prometheus-operator/prometheus-config-reloader:v0.81.0,tag
grafana-pyroscope-2-0-2-ha,docker.io/grafana/alloy:v1.12.2,tag
grafana-pyroscope-2-0-2-ha,grafana/pyroscope:2.0.2,tag
grafana-pyroscope-2-0-2-ha,quay.io/prometheus-operator/prometheus-config-reloader:v0.81.0,tag
grafana-pyroscope-2-0-2-no-crds,docker.io/grafana/alloy:v1.12.2,tag
grafana-pyroscope-2-0-2-no-crds,grafana/pyroscope:2.0.2,tag
grafana-pyroscope-2-0-2-no-crds,quay.io/prometheus-operator/prometheus-config-reloader:v0.81.0,tag
grafana-rollout-operator-0-49-0-default,docker.io/grafana/rollout-operator:v0.36.2,tag
grafana-rollout-operator-0-49-0-no-crds,docker.io/grafana/rollout-operator:v0.36.2,tag
grafana-tempo-1-24-4-local-persistent,docker.io/grafana/tempo:2.9.0,tag
grafana-tempo-1-24-4-s3-query-observability,docker.io/grafana/tempo:2.9.0,tag
grafana-tempo-1-24-4-s3-query-observability,grafana/tempo-query:2.9.0,tag
haproxytech-kubernetes-ingress-1-52-0-default,docker.io/haproxytech/kubernetes-ingress:3.2.9,tag
hashicorp-consul-2-0-0-default-control-plane,hashicorp/consul-k8s-control-plane:2.0.0,tag
hashicorp-consul-2-0-0-default-control-plane,hashicorp/consul:2.0.0,tag
hashicorp-consul-2-0-0-secure-mesh-existing-secrets,hashicorp/consul-dataplane:2.0.0,tag
hashicorp-consul-2-0-0-secure-mesh-existing-secrets,hashicorp/consul-k8s-control-plane:2.0.0,tag
hashicorp-consul-2-0-0-secure-mesh-existing-secrets,hashicorp/consul:2.0.0,tag
hashicorp-terraform-1-1-2-default,hashicorp/terraform-k8s:1.1.2,tag
hashicorp-terraform-1-1-2-no-crds,hashicorp/terraform-k8s:1.1.2,tag
hashicorp-vault-0-32-0-default,hashicorp/vault-k8s:1.7.2,tag
hashicorp-vault-0-32-0-default,hashicorp/vault:1.21.2,tag
hashicorp-vault-0-32-0-dev-mode,hashicorp/vault-k8s:1.7.2,tag
hashicorp-vault-0-32-0-dev-mode,hashicorp/vault:1.21.2,tag
hashicorp-vault-0-32-0-ha-raft-ui,hashicorp/vault-k8s:1.7.2,tag
hashicorp-vault-0-32-0-ha-raft-ui,hashicorp/vault:1.21.2,tag
ingress-nginx-ingress-nginx-4-15-1-admission-disabled,registry.k8s.io/ingress-nginx/controller:v1.15.1@sha256:594ceea76b01c592858f803f9ff4d2cb40542cae2060410b2c95f75907d659e1,digest
