producer,name,source_kind,contents_kind,chart,chart_version,bundle_digest,file_count,verdict_lane,verdict_status,oci_reference,oci_published,receipt
config-workshop-catalog,catalog-fluent-fluent-bit-0.57.6-default,helm-chart,rendered-config,fluent-bit,0.57.6,sha256:added102e3f2373eb579d7e90d344b3e901046c2e4f45798dc36413e06510d4a,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-fluent-fluent-bit-0-57-6-default:latest,published,data/certified-bundles/receipts/catalog/fluent-bit-0.57.6-default/receipt.yaml
config-workshop-catalog,catalog-hashicorp-vault-0.32.0-default,helm-chart,rendered-config,vault,0.32.0,sha256:738077f6d7f213cfd8dd8128d81f9a34054d4a6f3d5aa346e3f06d12c0b16cae,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-hashicorp-vault-0-32-0-default:latest,published,data/certified-bundles/receipts/catalog/vault-0.32.0-default/receipt.yaml
config-workshop-catalog,catalog-jetstack-cert-manager-v1.20.2-default,helm-chart,rendered-config,cert-manager,v1.20.2,sha256:3a6238aca9652b69c845268d55bebea8a6148875045805597b3741f94c564b07,2,flatten-with-routes,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-jetstack-cert-manager-v1-20-2-default:latest,published,data/certified-bundles/receipts/catalog/cert-manager-v1.20.2-default/receipt.yaml
config-workshop-catalog,catalog-jetstack-cert-manager-v1.21.0-default,helm-chart,rendered-config,cert-manager,v1.21.0,sha256:0180a8712ed49ad6bf6180f878f47e4f386b6ac7ecd8ae51c6c0de6a60a8186a,2,flatten-with-routes,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-jetstack-cert-manager-v1-21-0-default:latest,published,data/certified-bundles/receipts/catalog/cert-manager-v1.21.0-default/receipt.yaml
config-workshop-catalog,catalog-karpenter-karpenter-1.14.0-crds-managed,helm-chart,rendered-config,karpenter,1.14.0,sha256:ab854b5a41bdb85e656b335a5e26b0025c098cc698fd7306fb827382fcf15091,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-karpenter-karpenter-1-14-0-crds-managed:latest,published,data/certified-bundles/receipts/catalog/karpenter-1.14.0-crds-managed/receipt.yaml
config-workshop-catalog,catalog-karpenter-karpenter-1.14.0-default,helm-chart,rendered-config,karpenter,1.14.0,sha256:659ce0303f879db0246a20c9659d06adea3c2fc3d8b77518b684512f235149fb,3,flatten-with-routes,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-karpenter-karpenter-1-14-0-default:latest,published,data/certified-bundles/receipts/catalog/karpenter-1.14.0-default/receipt.yaml
config-workshop-catalog,catalog-karpenter-karpenter-1.14.0-eks-inference,helm-chart,rendered-config,karpenter,1.14.0,sha256:a325fb8c9b9fa4e02cd4bd5f915402da00e07a58febd847ac6afeb4328cc987d,3,flatten-with-routes,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-karpenter-karpenter-1-14-0-eks-inference:latest,published,data/certified-bundles/receipts/catalog/karpenter-1.14.0-eks-inference/receipt.yaml
config-workshop-catalog,catalog-metrics-server-metrics-server-3.13.0-default,helm-chart,rendered-config,metrics-server,3.13.0,sha256:ef3990a76c1098375a9f3944d83da3e8a3a360ed5b5b7f063625138f58a2725a,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-metrics-server-metrics-server-3-13-0-default:latest,published,data/certified-bundles/receipts/catalog/metrics-server-3.13.0-default/receipt.yaml
config-workshop-catalog,catalog-metrics-server-metrics-server-3.13.1-default,helm-chart,rendered-config,metrics-server,3.13.1,sha256:c4a4976f073a9f79fee82ed6c6aecf108c4f48a2481b51e8cd82178f8757fef1,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-metrics-server-metrics-server-3-13-1-default:latest,published,data/certified-bundles/receipts/catalog/metrics-server-3.13.1-default/receipt.yaml
config-workshop-catalog,catalog-nvidia-nvidia-device-plugin-0.19.3-default,helm-chart,rendered-config,nvidia-device-plugin,0.19.3,sha256:7c21ec3d5d1925e04e93b90114e41810112a1d2ece3ff6048150aee184394745,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-nvidia-nvidia-device-plugin-0-19-3-default:latest,published,data/certified-bundles/receipts/catalog/nvidia-device-plugin-0.19.3-default/receipt.yaml
