chart,base_variant,variant_path,path_type,quirk_origin,render_proof_status,installer_proof_status,scan_status,gitops_status,live_status,remaining_gap,evidence_path,notes
sealed-secrets/sealed-secrets@2.18.6,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/sealed-secrets/sealed-secrets/2.18.6/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/sealed-secrets-sealed-secrets-2.18.6-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
sealed-secrets/sealed-secrets@2.18.6,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/sealed-secrets/sealed-secrets/2.18.6/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/sealed-secrets-sealed-secrets-2.18.6-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,default,default,base-variant,chart-or-base,pass,pass,pass,pass,pass,none,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/secrets-store-csi-driver-confighub-proof/latest/confighub-proof-receipt.yaml | runs/top20-local-kind/secrets-store-csi-driver-default/observation-receipt.json | runs/live-helm-confighub-compare/secrets-store-csi-driver-secrets-store-csi-driver-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/secrets-store-csi-driver-secrets-store-csi-driver-default/receipt.yaml | runs/live-kind-parity/secrets-store-csi-driver-secrets-store-csi-driver-default/receipt.yaml
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,sync-secret-rotation,sync-secret-rotation,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/revisions/sync-secret-rotation/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/secrets-store-csi-driver-secrets-store-csi-driver-1.6.0-sync-secret-rotation/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/secrets-store-csi-driver-secrets-store-csi-driver-sync-secret-rotation/receipt.yaml
stakater/reloader@2.2.12,controller-default-reviewed,controller-default-reviewed,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/stakater/reloader/2.2.12/revisions/controller-default-reviewed/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/stakater-reloader-2.2.12-controller-default-reviewed/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
stakater/reloader@2.2.12,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/stakater/reloader/2.2.12/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/stakater-reloader-2.2.12-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
strimzi/strimzi-kafka-operator@1.0.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/strimzi/strimzi-kafka-operator/1.0.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/strimzi-strimzi-kafka-operator-1.0.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
strimzi/strimzi-kafka-operator@1.0.0,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,blocked,confighub_upload_variant_scan_safe_ops;local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/strimzi/strimzi-kafka-operator/1.0.0/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/strimzi-strimzi-kafka-operator-1.0.0-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
traefik/traefik@40.2.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/traefik/traefik/40.2.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/traefik-traefik-40.2.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
traefik/traefik@40.2.0,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/traefik/traefik/40.2.0/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/traefik-traefik-40.2.0-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
velero/velero@12.0.1,default,default,base-variant,chart-or-base,pass,missing,missing,missing,blocked,confighub_upload_variant_scan_safe_ops;local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/velero/velero/12.0.1/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/velero-velero-12.0.1-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
velero/velero@12.0.1,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,blocked,confighub_upload_variant_scan_safe_ops;local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/velero/velero/12.0.1/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/velero-velero-12.0.1-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
vm/victoria-logs-single@0.12.5,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/vm/victoria-logs-single/0.12.5/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/vm-victoria-logs-single-0.12.5-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
vm/victoria-metrics-single@0.39.0,default-reviewed,default-reviewed,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/vm/victoria-metrics-single/0.39.0/revisions/default-reviewed/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/vm-victoria-metrics-single-0.39.0-default-reviewed/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
vm/victoria-metrics-single@0.39.0,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/vm/victoria-metrics-single/0.39.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/vm-victoria-metrics-single-0.39.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
