LAST SEEN   TYPE      REASON                    OBJECT                                                            MESSAGE
3s          Warning   Failed                    pod/elasticsearch-master-1                                        Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
3s          Normal    BackOff                   pod/elasticsearch-data-1                                          Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
3s          Normal    Pulling                   pod/elasticsearch-master-0                                        Pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
3s          Warning   Failed                    pod/elasticsearch-data-1                                          Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
3s          Normal    Pulling                   pod/elasticsearch-master-1                                        Pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
3s          Warning   Failed                    pod/elasticsearch-master-1                                        Error: ErrImagePull
3s          Warning   Failed                    pod/elasticsearch-data-1                                          Error: ImagePullBackOff
2s          Normal    BackOff                   pod/elasticsearch-master-1                                        Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
2s          Warning   Failed                    pod/elasticsearch-master-0                                        Error: ErrImagePull
2s          Warning   Failed                    pod/elasticsearch-master-0                                        Failed to pull image "docker.io/bitnami/os-shell:12-debian-12-r50": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/os-shell:12-debian-12-r50": failed to resolve reference "docker.io/bitnami/os-shell:12-debian-12-r50": docker.io/bitnami/os-shell:12-debian-12-r50: not found
2s          Warning   Failed                    pod/elasticsearch-master-1                                        Error: ImagePullBackOff
1s          Warning   Failed                    pod/elasticsearch-master-0                                        Error: ImagePullBackOff
1s          Normal    BackOff                   pod/elasticsearch-master-0                                        Back-off pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
