LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
6m30s       Warning   BackOff             pod/ebs-csi-controller-c69844876-lmwn7    Back-off restarting failed container csi-attacher in pod ebs-csi-controller-c69844876-lmwn7_default-helm(45fbc071-11af-49db-aa83-f62bd4ad1bed)
6m30s       Warning   BackOff             pod/ebs-csi-controller-c69844876-mzqxv    Back-off restarting failed container csi-provisioner in pod ebs-csi-controller-c69844876-mzqxv_default-helm(6d50fe05-c750-4d1b-af11-f9c879a16b1e)
6m21s       Warning   BackOff             pod/ebs-csi-controller-c69844876-mzqxv    Back-off restarting failed container csi-attacher in pod ebs-csi-controller-c69844876-mzqxv_default-helm(6d50fe05-c750-4d1b-af11-f9c879a16b1e)
6m21s       Warning   BackOff             pod/ebs-csi-controller-c69844876-lmwn7    Back-off restarting failed container csi-resizer in pod ebs-csi-controller-c69844876-lmwn7_default-helm(45fbc071-11af-49db-aa83-f62bd4ad1bed)
6m17s       Warning   BackOff             pod/ebs-csi-controller-c69844876-mzqxv    Back-off restarting failed container csi-resizer in pod ebs-csi-controller-c69844876-mzqxv_default-helm(6d50fe05-c750-4d1b-af11-f9c879a16b1e)
5m51s       Warning   Unhealthy           pod/ebs-csi-node-krjkc                    Readiness probe failed: Get "http://10.244.0.13:9808/healthz": dial tcp 10.244.0.13:9808: connect: connection refused
5m51s       Warning   BackOff             pod/ebs-csi-node-krjkc                    Back-off restarting failed container node-driver-registrar in pod ebs-csi-node-krjkc_default-helm(acfdbfcc-369a-4da2-ae1b-3ad25dc9e12c)
2m13s       Normal    Pulled              pod/ebs-csi-controller-c69844876-lmwn7    Container image "public.ecr.aws/csi-components/csi-provisioner:v6.2.0-eksbuild.5" already present on machine and can be accessed by the pod
2m13s       Warning   BackOff             pod/ebs-csi-controller-c69844876-lmwn7    Back-off restarting failed container ebs-plugin in pod ebs-csi-controller-c69844876-lmwn7_default-helm(45fbc071-11af-49db-aa83-f62bd4ad1bed)
2m12s       Warning   BackOff             pod/ebs-csi-node-krjkc                    Back-off restarting failed container ebs-plugin in pod ebs-csi-node-krjkc_default-helm(acfdbfcc-369a-4da2-ae1b-3ad25dc9e12c)
2m12s       Normal    Pulled              pod/ebs-csi-node-krjkc                    Container image "public.ecr.aws/csi-components/csi-node-driver-registrar:v2.16.0-eksbuild.6" already present on machine and can be accessed by the pod
2m9s        Warning   BackOff             pod/ebs-csi-controller-c69844876-mzqxv    Back-off restarting failed container ebs-plugin in pod ebs-csi-controller-c69844876-mzqxv_default-helm(6d50fe05-c750-4d1b-af11-f9c879a16b1e)
2m9s        Normal    Pulled              pod/ebs-csi-controller-c69844876-mzqxv    Container image "public.ecr.aws/csi-components/csi-provisioner:v6.2.0-eksbuild.5" already present on machine and can be accessed by the pod
