chart,version,applicable_skills,skill_count,top_skill,matched_signals,skill_docs
prometheus-community/prometheus,29.8.0,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
prometheus-community/prometheus,29.9.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
rook-release/rook-ceph-cluster,v1.19.5,live-parity,1,live-parity,live,docs/skills/live-parity.md
rook-release/rook-ceph,v1.19.5,live-parity,1,live-parity,live,docs/skills/live-parity.md
runix/pgadmin4,1.62.0,target-facts-and-lifecycle; live-parity,2,target-facts-and-lifecycle,stateful-storage; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
sealed-secrets/sealed-secrets,2.18.6,live-parity,1,live-parity,live,docs/skills/live-parity.md
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
stakater/reloader,2.2.12,live-parity,1,live-parity,live,docs/skills/live-parity.md
strimzi/strimzi-kafka-operator,1.0.0,target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,3,target-facts-and-lifecycle,crds; live,docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
traefik/traefik,40.2.0,serious-chart-playbooks; hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel; live-parity,5,serious-chart-playbooks,crds+webhooks; generated-facts; webhooks; crds; lookup; stateful-storage; live,docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md
velero/velero,12.0.1,,0,none,,
vm/victoria-logs-single,0.12.5,live-parity,1,live-parity,live,docs/skills/live-parity.md
vm/victoria-metrics-single,0.39.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
