chart,base,rendered_secret_count,target_fact_secret_count,lifecycle_secret_count,user_secret_count,review_secret_count,overall_disposition,dispositions,roles,evidence,notes
bitnami/redis@25.5.3,default,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/bitnami/redis/25.5.3/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/redis@25.5.3,reuse-existing-secret,0,1,0,1,0,staged,staged,user-credential-material,recipes/bitnami/redis/25.5.3/variants/reuse-existing-secret/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/spark@10.0.3,default,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/bitnami/spark/10.0.3/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/spark@10.0.3,ha,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/bitnami/spark/10.0.3/revisions/ha/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/zookeeper@13.8.7,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/zookeeper/13.8.7/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/zookeeper@13.8.7,ha,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/zookeeper/13.8.7/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
cloudnative-pg/cloudnative-pg@0.28.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/cloudnative-pg/cloudnative-pg/0.28.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
cloudnative-pg/cloudnative-pg@0.28.2,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/cloudnative-pg/cloudnative-pg/0.28.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
coredns/coredns@1.45.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/coredns/coredns/1.45.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
crossplane-stable/crossplane@2.3.1,default,3,0,3,0,0,needs-lane-support,needs-lane-support,kubernetes-lifecycle-state,recipes/crossplane-stable/crossplane/2.3.1/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
descheduler/descheduler@0.36.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/descheduler/descheduler/0.36.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
dex/dex@0.24.0,default,1,0,0,0,1,delivered,delivered,secret-material-review,recipes/dex/dex/0.24.0/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
elastic/eck-operator@3.4.0,default,1,0,1,0,0,needs-lane-support,needs-lane-support,kubernetes-lifecycle-state,recipes/elastic/eck-operator/3.4.0/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
elastic/eck-operator@3.4.0,ha,1,0,1,0,0,needs-lane-support,needs-lane-support,kubernetes-lifecycle-state,recipes/elastic/eck-operator/3.4.0/revisions/ha/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
elastic/eck-operator@3.4.0,no-crds,1,0,1,0,0,needs-lane-support,needs-lane-support,kubernetes-lifecycle-state,recipes/elastic/eck-operator/3.4.0/revisions/no-crds/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
elastic/filebeat@8.5.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/elastic/filebeat/8.5.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
elastic/filebeat@8.5.1,node-or-cluster-collector,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/elastic/filebeat/8.5.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
elastic/kibana@8.5.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/elastic/kibana/8.5.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
elastic/logstash@8.5.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/elastic/logstash/8.5.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
elastic/logstash@8.5.1,ha,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/elastic/logstash/8.5.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
elastic/metricbeat@8.5.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/elastic/metricbeat/8.5.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
external-dns/external-dns@1.21.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/external-dns/external-dns/1.21.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
external-dns/external-dns@1.21.1,dry-run-txt-registry,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/external-dns/external-dns/1.21.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
external-dns/external-dns@1.21.1,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/external-dns/external-dns/1.21.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
external-secrets/external-secrets@2.5.0,default,1,1,2,0,0,observed,observed;staged,kubernetes-lifecycle-state,recipes/external-secrets/external-secrets/2.5.0/variants/default/variant.yaml;runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-default/receipt.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
external-secrets/external-secrets@2.5.0,no-crds,1,1,2,0,0,observed,observed;staged,kubernetes-lifecycle-state,recipes/external-secrets/external-secrets/2.5.0/variants/no-crds/variant.yaml;runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-no-crds/receipt.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
fairwinds-stable/goldilocks@10.3.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/fairwinds-stable/goldilocks/10.3.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
fairwinds-stable/vpa@4.11.0,default,0,1,1,0,0,staged,staged,kubernetes-lifecycle-state,recipes/fairwinds-stable/vpa/4.11.0/variants/default/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
fairwinds-stable/vpa@4.11.0,no-crds,0,1,1,0,0,staged,staged,kubernetes-lifecycle-state,recipes/fairwinds-stable/vpa/4.11.0/variants/no-crds/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
falcosecurity/falco@9.0.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/falcosecurity/falco/9.0.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
falcosecurity/falcosidekick@0.13.1,default,1,0,0,0,1,delivered,delivered,secret-material-review,recipes/falcosecurity/falcosidekick/0.13.1/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
fluent/fluent-bit@0.57.6,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/fluent/fluent-bit/0.57.6/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
fluent/fluentd@0.5.3,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/fluent/fluentd/0.5.3/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
gatekeeper/gatekeeper@3.22.2,default,1,0,1,0,0,observed,observed,kubernetes-lifecycle-state,data/hook-lifecycle/receipts/gatekeeper-gatekeeper/default/latest.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
gatekeeper/gatekeeper@3.22.2,no-crds,1,0,1,0,0,needs-lane-support,needs-lane-support,kubernetes-lifecycle-state,recipes/gatekeeper/gatekeeper/3.22.2/revisions/no-crds/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
gitlab/gitlab-runner@0.89.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/gitlab/gitlab-runner/0.89.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/alloy@1.8.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/alloy/1.8.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/alloy@1.8.2,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/alloy/1.8.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/grafana@10.5.15,existing-secret-ingress,0,1,0,1,0,staged,staged,user-credential-material,recipes/grafana/grafana/10.5.15/variants/existing-secret-ingress/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
grafana/grafana@10.5.15,generated-passwords,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/grafana/grafana/10.5.15/revisions/generated-passwords/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
grafana/loki@7.0.0,simple-scalable-minio,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
grafana/loki@7.0.0,single-binary-filesystem,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/loki/7.0.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/promtail@6.17.1,default,1,0,0,0,1,delivered,delivered,secret-material-review,recipes/grafana/promtail/6.17.1/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
grafana/pyroscope@2.0.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/pyroscope/2.0.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/pyroscope@2.0.2,ha,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/pyroscope/2.0.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/pyroscope@2.0.2,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/pyroscope/2.0.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/rollout-operator@0.49.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/rollout-operator/0.49.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/rollout-operator@0.49.0,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/rollout-operator/0.49.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/tempo@1.24.4,local-persistent,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/grafana/tempo/1.24.4/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
grafana/tempo@1.24.4,s3-query-observability,0,1,0,1,0,staged,staged,user-credential-material,recipes/grafana/tempo/1.24.4/variants/s3-query-observability/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
haproxytech/kubernetes-ingress@1.52.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/haproxytech/kubernetes-ingress/1.52.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
hashicorp/consul@2.0.0,default-control-plane,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/hashicorp/consul/2.0.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,1,4,1,4,0,needs-lane-support,needs-lane-support;staged,kubernetes-lifecycle-state;user-credential-material,recipes/hashicorp/consul/2.0.0/revisions/secure-mesh-existing-secrets/r001/rendered/release-objects.yaml;recipes/hashicorp/consul/2.0.0/variants/secure-mesh-existing-secrets/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
hashicorp/terraform@1.1.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/hashicorp/terraform/1.1.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
hashicorp/terraform@1.1.2,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/hashicorp/terraform/1.1.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
hashicorp/vault@0.32.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/hashicorp/vault/0.32.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
hashicorp/vault@0.32.0,dev-mode,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/hashicorp/vault/0.32.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
hashicorp/vault@0.32.0,ha-raft-ui,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/hashicorp/vault/0.32.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/ingress-nginx/ingress-nginx/4.15.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
ingress-nginx/ingress-nginx@4.15.1,default,0,1,1,0,0,staged,staged,kubernetes-lifecycle-state,recipes/ingress-nginx/ingress-nginx/4.15.1/variants/default/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/ingress-nginx/ingress-nginx/4.15.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
