name,source_type,source_name,source_version,source_selection,source_selection_kind,source_selection_provider,base,status,object_count,base_digest_role,object_digest,object_digest_role,source_record,objects,source_intent_status,materialization_status,inspection_evidence_state,inspection_result_state,materialization_evidence_state,materialization_result_state,destination_evidence_state,destination_result_state,post_deployment_evidence_state,post_deployment_result_state,flattening_verdict,lifecycle_requirements_status,route_intent_status,route_resolution_status,field_ownership_status,package_oci_ref,literal_config_oci_status,release_oci_status,policy_profile,resource_class,owner_class,change_cadence,classification_source,live_space
ingress-nginx-ingress-nginx-4-15-1-internal-clusterip,helm,ingress-nginx/ingress-nginx,4.15.1,internal-clusterip,catalog-preset,Config Workshop,internal-clusterip,available,9,helm-variant-revision,a94ba2b56636baf7e732766c12c98d808b57c276156fa7a3a752b4137bf5f46a,canonical-object-set,data/helm-render-intents/intents/ingress-nginx-ingress-nginx-4-15-1-internal-clusterip.yaml,recipes/ingress-nginx/ingress-nginx/4.15.1/revisions/internal-clusterip/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/ingress-nginx-ingress-nginx:4.15.1,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
istio-gateway-1-30-0-controller-default-reviewed,helm,istio/gateway,1.30.0,controller-default-reviewed,catalog-preset,Config Workshop,controller-default-reviewed,available,6,helm-variant-revision,07b3cb11d265a7b857b231a347be2c71742e5bc1eeb02efddd7ce71ecc1c7afc,canonical-object-set,data/helm-render-intents/intents/istio-gateway-1-30-0-controller-default-reviewed.yaml,recipes/istio/gateway/1.30.0/revisions/controller-default-reviewed/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/istio-gateway:1.30.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
istio-gateway-1-30-0-default,helm,istio/gateway,1.30.0,default,catalog-preset,Config Workshop,default,available,6,helm-variant-revision,07b3cb11d265a7b857b231a347be2c71742e5bc1eeb02efddd7ce71ecc1c7afc,canonical-object-set,data/helm-render-intents/intents/istio-gateway-1-30-0-default.yaml,recipes/istio/gateway/1.30.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,safe-to-flatten,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/istio-gateway:1.30.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
istio-istiod-1-30-0-default,helm,istio/istiod,1.30.0,default,catalog-preset,Config Workshop,default,available,17,helm-variant-revision,53385181293dd9a8228f37a370148dde3cc77acecf5a3a8539fa1b8eb0f9afdf,canonical-object-set,data/helm-render-intents/intents/istio-istiod-1-30-0-default.yaml,recipes/istio/istiod/1.30.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/istio-istiod:1.30.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
jaegertracing-jaeger-4-8-0-default,helm,jaegertracing/jaeger,4.8.0,default,catalog-preset,Config Workshop,default,available,3,helm-variant-revision,da24b2c05d1c43492627f3d01b0d675ea01bb2acb38017a18dec5a70c55b7939,canonical-object-set,data/helm-render-intents/intents/jaegertracing-jaeger-4-8-0-default.yaml,recipes/jaegertracing/jaeger/4.8.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jaegertracing-jaeger:4.8.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
jaegertracing-jaeger-operator-2-57-0-default,helm,jaegertracing/jaeger-operator,2.57.0,default,catalog-preset,Config Workshop,default,available,11,helm-variant-revision,c17323ac7d71b000b42732323a79731fe3d9244ba4e641d8349a73a71b8807ab,canonical-object-set,data/helm-render-intents/intents/jaegertracing-jaeger-operator-2-57-0-default.yaml,recipes/jaegertracing/jaeger-operator/2.57.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jaegertracing-jaeger-operator:2.57.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
jaegertracing-jaeger-operator-2-57-0-no-crds,helm,jaegertracing/jaeger-operator,2.57.0,no-crds,catalog-preset,Config Workshop,no-crds,available,0,helm-variant-revision,14755312bc08dd5aad02a12a16f32a04e54adad141a93cb28ff42b2e49066975,canonical-object-set,data/helm-render-intents/intents/jaegertracing-jaeger-operator-2-57-0-no-crds.yaml,recipes/jaegertracing/jaeger-operator/2.57.0/revisions/no-crds/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jaegertracing-jaeger-operator:2.57.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
jetstack-cert-manager-csi-driver-v0-14-0-default,helm,jetstack/cert-manager-csi-driver,v0.14.0,default,catalog-preset,Config Workshop,default,available,5,helm-variant-revision,2fa28f4f4c912710babcc4f46818889df3c51396a400dbce6c0245afc20056f3,canonical-object-set,data/helm-render-intents/intents/jetstack-cert-manager-csi-driver-v0-14-0-default.yaml,recipes/jetstack/cert-manager-csi-driver/v0.14.0/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,safe-to-flatten,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jetstack-cert-manager-csi-driver:v0.14.0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
jetstack-cert-manager-v1-20-2-crds-enabled,helm,jetstack/cert-manager,v1.20.2,crds-enabled,catalog-preset,Config Workshop,crds-enabled,available,48,helm-variant-revision,e288b2413bd1919173bee6afcd823be61399f101cfe2cf61f8e0df56740fefe0,canonical-object-set,data/helm-render-intents/intents/jetstack-cert-manager-v1-20-2-crds-enabled.yaml,recipes/jetstack/cert-manager/v1.20.2/revisions/crds-enabled/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,not-assessed,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jetstack-cert-manager:v1.20.2,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
jetstack-cert-manager-v1-20-2-default,helm,jetstack/cert-manager,v1.20.2,default,catalog-preset,Config Workshop,default,available,42,helm-variant-revision,45029db19d75e578bec74b82a0476a6580d1f7193239a210bf4873156ac725ce,canonical-object-set,data/helm-render-intents/intents/jetstack-cert-manager-v1-20-2-default.yaml,recipes/jetstack/cert-manager/v1.20.2/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,flatten-with-routes,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/jetstack-cert-manager:v1.20.2,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
