receipt,family,date_field,recorded,age_days
runs/victoria-logs-single-default-confighub-proof/latest/variant-promotion-receipt.yaml,victoria-logs-single-default-confighub-proof,observedAt,2026-05-27,91
runs/victoria-metrics-single-confighub-proof/latest/confighub-proof-receipt.yaml,victoria-metrics-single-confighub-proof,date,2026-05-27,91
runs/victoria-metrics-single-confighub-proof/latest/function-scan-receipt.yaml,victoria-metrics-single-confighub-proof,observedAt,2026-05-27,91
runs/victoria-metrics-single-confighub-proof/latest/safe-ops-receipt.yaml,victoria-metrics-single-confighub-proof,observedAt,2026-05-27,91
runs/victoria-metrics-single-default-confighub-proof/latest/confighub-proof-receipt.yaml,victoria-metrics-single-default-confighub-proof,date,2026-05-27,91
runs/victoria-metrics-single-default-confighub-proof/latest/function-scan-receipt.yaml,victoria-metrics-single-default-confighub-proof,observedAt,2026-05-27,91
runs/victoria-metrics-single-default-confighub-proof/latest/safe-ops-receipt.yaml,victoria-metrics-single-default-confighub-proof,observedAt,2026-05-27,91
runs/victoria-metrics-single-default-confighub-proof/latest/variant-promotion-receipt.yaml,victoria-metrics-single-default-confighub-proof,observedAt,2026-05-27,91
runs/victoria-metrics-single-default-reviewed-confighub-proof/latest/variant-promotion-receipt.yaml,victoria-metrics-single-default-reviewed-confighub-proof,observedAt,2026-05-27,91
runs/vpa-confighub-proof/latest/confighub-proof-receipt.yaml,vpa-confighub-proof,date,2026-05-27,91
runs/vpa-confighub-proof/latest/function-scan-receipt.yaml,vpa-confighub-proof,observedAt,2026-05-27,91
runs/vpa-confighub-proof/latest/safe-ops-receipt.yaml,vpa-confighub-proof,observedAt,2026-05-27,91
runs/vpa-default-confighub-proof/latest/variant-promotion-receipt.yaml,vpa-default-confighub-proof,observedAt,2026-05-27,91
runs/vpa-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml,vpa-no-crds-confighub-proof,date,2026-05-27,91
runs/vpa-no-crds-confighub-proof/latest/function-scan-receipt.yaml,vpa-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/vpa-no-crds-confighub-proof/latest/safe-ops-receipt.yaml,vpa-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/vpa-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,vpa-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/derived-variant-execution/grafana-customer-acme-prod/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/grafana-prod-us-east/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/nginx-customer-acme-prod/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/nginx-prod-us-east/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/prometheus-prod-us-east/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/prometheus-staging-eu-west/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/redis-prod-us-east/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/redis-staging-eu-west/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/vault-regulated-prod-us-east/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-execution/vault-staging-us-east/variant-create-receipt.yaml,derived-variant-execution,date,2026-06-05,82
runs/derived-variant-target-bound/metrics-server-prod-us-east/receipt.yaml,derived-variant-target-bound,date,2026-06-05,82
