chart,variant,lane,lane_label,recorded,disposition,derived,reason,next_action,owner
grafana/alloy@1.8.2,default,local_live,L,pass,pass,no,,,
grafana/alloy@1.8.2,default,gitops_oci_live,G,pass,pass,no,,,
grafana/alloy@1.8.2,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/alloy@1.8.2,default,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/alloy@1.8.2,no-crds,render_parity,R,pass,pass,no,,,
grafana/alloy@1.8.2,no-crds,in_confighub,C,pass,pass,no,,,
grafana/alloy@1.8.2,no-crds,local_live,L,pass,pass,no,,,
grafana/alloy@1.8.2,no-crds,gitops_oci_live,G,pass,pass,no,,,
grafana/alloy@1.8.2,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/alloy@1.8.2,no-crds,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/grafana@10.5.15,existing-secret-ingress,render_parity,R,pass,pass,no,,,
grafana/grafana@10.5.15,existing-secret-ingress,in_confighub,C,pass,pass,no,,,
grafana/grafana@10.5.15,existing-secret-ingress,local_live,L,pass,pass,no,,,
grafana/grafana@10.5.15,existing-secret-ingress,gitops_oci_live,G,pass,pass,no,,,
grafana/grafana@10.5.15,existing-secret-ingress,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/grafana@10.5.15,existing-secret-ingress,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/grafana@10.5.15,generated-passwords,render_parity,R,pass,pass,no,,,
grafana/grafana@10.5.15,generated-passwords,in_confighub,C,pass,pass,no,,,
grafana/grafana@10.5.15,generated-passwords,local_live,L,pass,pass,no,,,
grafana/grafana@10.5.15,generated-passwords,gitops_oci_live,G,pass,pass,no,,,
grafana/grafana@10.5.15,generated-passwords,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/grafana@10.5.15,generated-passwords,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/loki@7.0.0,simple-scalable-minio,render_parity,R,pass,pass,no,,,
grafana/loki@7.0.0,simple-scalable-minio,in_confighub,C,pass,pass,no,,,
grafana/loki@7.0.0,simple-scalable-minio,local_live,L,pass,pass,no,,,
grafana/loki@7.0.0,simple-scalable-minio,gitops_oci_live,G,pass,pass,no,,,
grafana/loki@7.0.0,simple-scalable-minio,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/loki@7.0.0,simple-scalable-minio,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/loki@7.0.0,single-binary-filesystem,render_parity,R,pass,pass,no,,,
grafana/loki@7.0.0,single-binary-filesystem,in_confighub,C,pass,pass,no,,,
grafana/loki@7.0.0,single-binary-filesystem,local_live,L,pass,pass,no,,,
grafana/loki@7.0.0,single-binary-filesystem,gitops_oci_live,G,pass,pass,no,,,
grafana/loki@7.0.0,single-binary-filesystem,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/loki@7.0.0,single-binary-filesystem,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/promtail@6.17.1,default,render_parity,R,pass,pass,no,,,
grafana/promtail@6.17.1,default,in_confighub,C,pass,pass,no,,,
grafana/promtail@6.17.1,default,local_live,L,pass,pass,no,,,
grafana/promtail@6.17.1,default,gitops_oci_live,G,pass,pass,no,,,
grafana/promtail@6.17.1,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
grafana/promtail@6.17.1,default,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/pyroscope@2.0.2,default,render_parity,R,pass,pass,no,,,
grafana/pyroscope@2.0.2,default,in_confighub,C,pass,pass,no,,,
grafana/pyroscope@2.0.2,default,local_live,L,pass,pass,no,,,
grafana/pyroscope@2.0.2,default,gitops_oci_live,G,watch,watch,no,,,
grafana/pyroscope@2.0.2,default,live_helm_vs_confighub_parity,P,watch,watch,no,,,
grafana/pyroscope@2.0.2,default,two_cluster_kind_parity,K,pass,pass,no,,,
grafana/pyroscope@2.0.2,ha,render_parity,R,pass,pass,no,,,
grafana/pyroscope@2.0.2,ha,in_confighub,C,pass,pass,no,,,
grafana/pyroscope@2.0.2,ha,local_live,L,fail,fail,no,,,
grafana/pyroscope@2.0.2,ha,gitops_oci_live,G,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
grafana/pyroscope@2.0.2,ha,live_helm_vs_confighub_parity,P,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
grafana/pyroscope@2.0.2,ha,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
