chart,category,class,confighub_home
prometheus-community/prometheus-operator-crds@29.0.0,crds,standard,recipe
rook-release/rook-ceph@v1.19.5,crds,standard,recipe
sealed-secrets/sealed-secrets@2.18.6,crds,standard,recipe
strimzi/strimzi-kafka-operator@1.0.0,crds,standard,recipe
traefik/traefik@40.2.0,crds,standard,recipe
velero/velero@12.0.1,crds,standard,recipe
bitnami/nginx@24.0.2,edge-ingress-policy,standard,recipe
hashicorp/consul@2.0.0,mesh-gateway-policy,standard,recipe
grafana/loki@7.0.0,object-storage-policy,standard,operate-policy
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,provider-integration,standard,recipe
grafana/tempo@1.24.4,query-ingress-policy,standard,recipe
bitnami/mongodb@19.0.7,replicaset-topology,standard,recipe
hashicorp/vault@0.32.0,service-exposure,standard,recipe
bitnami/elasticsearch@22.1.6,stateful-storage,standard,operate-policy
bitnami/opensearch@2.0.10,stateful-storage,standard,operate-policy
bitnami/spark@10.0.3,stateful-storage,standard,operate-policy
bitnami/zookeeper@13.8.7,stateful-storage,standard,operate-policy
elastic/eck-operator@3.4.0,stateful-storage,standard,operate-policy
elastic/logstash@8.5.1,stateful-storage,standard,operate-policy
grafana/pyroscope@2.0.2,stateful-storage,standard,operate-policy
nats/nats@2.14.0,stateful-storage,standard,operate-policy
prometheus-community/alertmanager@1.37.0,stateful-storage,standard,operate-policy
runix/pgadmin4@1.62.0,stateful-storage,standard,operate-policy
vm/victoria-logs-single@0.12.5,stateful-storage,standard,operate-policy
vm/victoria-metrics-single@0.39.0,stateful-storage,standard,operate-policy
grafana/loki@7.0.0,storage-config,standard,operate-policy
prometheus-community/prometheus@29.8.0,storage-retention,standard,operate-policy
grafana/grafana@10.5.15,ui-ingress-policy,standard,recipe
hashicorp/consul@2.0.0,ui-ingress-policy,standard,recipe
longhorn/longhorn@1.11.2,ui-ingress-policy,standard,recipe
autoscaler/vertical-pod-autoscaler@0.9.0,webhooks,standard,lifecycle-policy
cloudnative-pg/cloudnative-pg@0.28.2,webhooks,standard,lifecycle-policy
elastic/eck-operator@3.4.0,webhooks,standard,lifecycle-policy
fairwinds-stable/vpa@4.11.0,webhooks,standard,lifecycle-policy
gatekeeper/gatekeeper@3.22.2,webhooks,standard,lifecycle-policy
grafana/rollout-operator@0.49.0,webhooks,standard,lifecycle-policy
istio/istiod@1.30.0,webhooks,standard,lifecycle-policy
jaegertracing/jaeger-operator@2.57.0,webhooks,standard,lifecycle-policy
jetstack/trust-manager@v0.22.1,webhooks,standard,lifecycle-policy
kedacore/keda@2.19.0,webhooks,standard,lifecycle-policy
open-telemetry/opentelemetry-operator@0.114.0,webhooks,standard,lifecycle-policy
