repo,chart,version,base,lane,hooks,lookup,keep,webhooks,generated_secrets,crd_evidence,verdict
gatekeeper,gatekeeper,3.22.2,no-crds,unsafe-to-flatten,present,absent,absent,present,absent,present-gated,recipes/gatekeeper/gatekeeper/3.22.2/publication/flattening-safety-verdict-no-crds.yaml
grafana,alloy,1.8.2,no-crds,safe-to-flatten,absent,absent,absent,absent,absent,present-gated,recipes/grafana/alloy/1.8.2/publication/flattening-safety-verdict-no-crds.yaml
grafana,grafana,10.5.15,existing-secret-ingress,unsafe-to-flatten,present,present,absent,absent,present-gated,absent,recipes/grafana/grafana/10.5.15/publication/flattening-safety-verdict-existing-secret-ingress.yaml
grafana,grafana,10.5.15,static-passwords,unsafe-to-flatten,present,present,absent,absent,present,absent,recipes/grafana/grafana/10.5.15/publication/flattening-safety-verdict-static-passwords.yaml
grafana,loki,7.0.0,simple-scalable-minio,unsafe-to-flatten,present,present,absent,present-gated,present,present-gated,recipes/grafana/loki/7.0.0/publication/flattening-safety-verdict-simple-scalable-minio.yaml
grafana,loki,7.0.0,single-binary-filesystem,unsafe-to-flatten,present,present,absent,present-gated,present-gated,present-gated,recipes/grafana/loki/7.0.0/publication/flattening-safety-verdict-single-binary-filesystem.yaml
grafana,loki,7.1.0,default,unsafe-to-flatten,present,present,absent,present-gated,present-gated,present-gated,recipes/grafana/loki/7.1.0/publication/flattening-safety-verdict.yaml
grafana,pyroscope,2.0.2,default,unsafe-to-flatten,present,present,absent,absent,present-gated,present,recipes/grafana/pyroscope/2.0.2/publication/flattening-safety-verdict.yaml
grafana,pyroscope,2.0.2,ha,unsafe-to-flatten,present,present,absent,absent,present-gated,present,recipes/grafana/pyroscope/2.0.2/publication/flattening-safety-verdict-ha.yaml
grafana,pyroscope,2.0.2,no-crds,unsafe-to-flatten,present,present,absent,absent,present-gated,present-gated,recipes/grafana/pyroscope/2.0.2/publication/flattening-safety-verdict-no-crds.yaml
grafana,rollout-operator,0.49.0,default,flatten-with-routes,absent,absent,absent,present,absent,present,recipes/grafana/rollout-operator/0.49.0/publication/flattening-safety-verdict.yaml
grafana,rollout-operator,0.49.0,no-crds,flatten-with-routes,absent,absent,absent,present,absent,present-gated,recipes/grafana/rollout-operator/0.49.0/publication/flattening-safety-verdict-no-crds.yaml
grafana,tempo,1.24.4,local-persistent,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/grafana/tempo/1.24.4/publication/flattening-safety-verdict-local-persistent.yaml
grafana,tempo,1.24.4,s3-query-observability,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/grafana/tempo/1.24.4/publication/flattening-safety-verdict-s3-query-observability.yaml
haproxytech,kubernetes-ingress,1.52.0,default,unsafe-to-flatten,present,present,absent,absent,present-gated,absent,recipes/haproxytech/kubernetes-ingress/1.52.0/publication/flattening-safety-verdict.yaml
hashicorp,consul,2.0.0,default-control-plane,unsafe-to-flatten,present,absent,present-gated,present,absent,present,recipes/hashicorp/consul/2.0.0/publication/flattening-safety-verdict-default-control-plane.yaml
hashicorp,consul,2.0.0,secure-mesh-existing-secrets,unsafe-to-flatten,present,absent,present-gated,present,absent,present,recipes/hashicorp/consul/2.0.0/publication/flattening-safety-verdict-secure-mesh-existing-secrets.yaml
hashicorp,terraform,1.1.2,default,flatten-with-routes,present,absent,absent,absent,absent,present,recipes/hashicorp/terraform/1.1.2/publication/flattening-safety-verdict.yaml
hashicorp,terraform,1.1.2,no-crds,safe-to-flatten,present,absent,absent,absent,absent,present-gated,recipes/hashicorp/terraform/1.1.2/publication/flattening-safety-verdict-no-crds.yaml
hashicorp,vault,0.32.0,dev-mode,flatten-with-routes,present,absent,absent,present,absent,absent,recipes/hashicorp/vault/0.32.0/publication/flattening-safety-verdict-dev-mode.yaml
hashicorp,vault,0.32.0,ha-raft-ui,flatten-with-routes,present,absent,absent,present,absent,absent,recipes/hashicorp/vault/0.32.0/publication/flattening-safety-verdict-ha-raft-ui.yaml
ingress-nginx,ingress-nginx,4.15.1,admission-disabled,flatten-with-routes,present,absent,absent,present-gated,absent,absent,recipes/ingress-nginx/ingress-nginx/4.15.1/publication/flattening-safety-verdict-admission-disabled.yaml
ingress-nginx,ingress-nginx,4.15.1,internal-clusterip,flatten-with-routes,present,absent,absent,present-gated,absent,absent,recipes/ingress-nginx/ingress-nginx/4.15.1/publication/flattening-safety-verdict-internal-clusterip.yaml
istio,gateway,1.30.0,controller-default-reviewed,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/istio/gateway/1.30.0/publication/flattening-safety-verdict-controller-default-reviewed.yaml
istio,istiod,1.30.0,default,flatten-with-routes,absent,absent,absent,present,absent,absent,recipes/istio/istiod/1.30.0/publication/flattening-safety-verdict.yaml
jaegertracing,jaeger-operator,2.57.0,default,flatten-with-routes,absent,absent,absent,present,absent,present,recipes/jaegertracing/jaeger-operator/2.57.0/publication/flattening-safety-verdict.yaml
jaegertracing,jaeger-operator,2.57.0,no-crds,flatten-with-routes,absent,absent,absent,present,absent,present-gated,recipes/jaegertracing/jaeger-operator/2.57.0/publication/flattening-safety-verdict-no-crds.yaml
jaegertracing,jaeger,4.8.0,default,unsafe-to-flatten,present,present,absent,absent,present-gated,absent,recipes/jaegertracing/jaeger/4.8.0/publication/flattening-safety-verdict.yaml
jetstack,cert-manager,v1.20.2,crds-enabled,flatten-with-routes,present,absent,present,present,absent,present,recipes/jetstack/cert-manager/v1.20.2/publication/flattening-safety-verdict-crds-enabled.yaml
jetstack,trust-manager,v0.22.1,default,flatten-with-routes,absent,absent,present,present,present-gated,present,recipes/jetstack/trust-manager/v0.22.1/publication/flattening-safety-verdict.yaml
