chart,base,outcome_level,render_parity,in_confighub,local_live,lifecycle_observation,lifecycle_receipt,lifecycle_policy,gitops_oci_live,live_helm_vs_confighub_parity,two_cluster_kind_parity,two_cluster_kind_parity_reason,complete_core_lane_set,missing_or_non_pass_lanes,recipe_path,package_path,variant_revision,evidence_notes
prometheus-community/prometheus-adapter@5.3.0,default,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-adapter/5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-adapter-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-adapter-5.3.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-blackbox-exporter@11.10.0,cluster-metrics-readonly,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-blackbox-exporter-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-blackbox-exporter-11.10.0-cluster-metrics-readonly/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-prometheus-blackbox-exporter-cluster-metrics-readonly/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-blackbox-exporter-cluster-metrics-readonly/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-blackbox-exporter-cluster-metrics-readonly/receipt.yaml | runs/live-kind-parity/prometheus-community-prometheus-blackbox-exporter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-blackbox-exporter@11.10.0,default,local-live,pass,pass,pass,missing,,,missing,missing,missing,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-blackbox-exporter-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-blackbox-exporter-11.10.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-node-exporter@4.55.0,cluster-metrics-readonly,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/prometheus-node-exporter/4.55.0,packages/prometheus-community/prometheus-node-exporter/4.55.0,recipes/prometheus-community/prometheus-node-exporter/4.55.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-node-exporter-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-node-exporter-4.55.0-cluster-metrics-readonly/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-prometheus-node-exporter-cluster-metrics-readonly/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-node-exporter-cluster-metrics-readonly/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-node-exporter-cluster-metrics-readonly/receipt.yaml | runs/live-kind-parity/prometheus-community-prometheus-node-exporter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-node-exporter@4.55.0,default,local-live,pass,pass,pass,missing,,,missing,missing,missing,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-node-exporter/4.55.0,packages/prometheus-community/prometheus-node-exporter/4.55.0,recipes/prometheus-community/prometheus-node-exporter/4.55.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-node-exporter-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-node-exporter-4.55.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-operator-crds@29.0.0,default,live-parity,pass,pass,pass,missing,,,pass,pass,missing,,yes,none,recipes/prometheus-community/prometheus-operator-crds/29.0.0,packages/prometheus-community/prometheus-operator-crds/29.0.0,recipes/prometheus-community/prometheus-operator-crds/29.0.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-prometheus-operator-crds-29-0-0-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-operator-crds-29.0.0-default/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-prometheus-operator-crds-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-operator-crds-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-operator-crds-default/receipt.yaml | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus-pushgateway@3.6.0,default,local-live,pass,pass,pass,missing,,,missing,missing,missing,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus-pushgateway/3.6.0,packages/prometheus-community/prometheus-pushgateway/3.6.0,recipes/prometheus-community/prometheus-pushgateway/3.6.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-prometheus-pushgateway-3-6-0-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-pushgateway-3.6.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
prometheus-community/prometheus@29.8.0,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/prometheus/29.8.0,packages/prometheus-community/prometheus/29.8.0,recipes/prometheus-community/prometheus/29.8.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-29.8.0-default/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-prometheus-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-default/receipt.yaml | runs/live-kind-parity/prometheus-community-prometheus-default/receipt.yaml
prometheus-community/prometheus@29.8.0,server-only-ephemeral,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/prometheus-community/prometheus/29.8.0,packages/prometheus-community/prometheus/29.8.0,recipes/prometheus-community/prometheus/29.8.0/revisions/server-only-ephemeral/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/prometheus-confighub-proof/latest/confighub-proof-receipt.yaml | runs/top20-local-kind/prometheus-server-only-ephemeral/observation-receipt.json | runs/live-helm-confighub-compare/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml | runs/live-kind-parity/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml
prometheus-community/prometheus@29.9.0,default,local-live,pass,pass,pass,missing,,,watch,watch,missing,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/prometheus-community/prometheus/29.9.0,packages/prometheus-community/prometheus/29.9.0,recipes/prometheus-community/prometheus/29.9.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-prometheus-29-9-0-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/prometheus-community-prometheus-29.9.0-default/observation-receipt.yaml | runs/live-helm-confighub-compare/prometheus-community-prometheus-default-29-9-0/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/prometheus-community-prometheus-default-29-9-0/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/prometheus-community-prometheus-default-29-9-0/receipt.yaml | no two-cluster kind parity receipt in this repo
